scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
600774,汉商集团,A股,上交所主板,2019-06-26T00:00:00,2018-03-31T00:00:00,0.046,-,296654070.77,17.7982,-2.256,8108285.13,12.7067,-7.4223,1.38,3.38920455,0.070915,30.3412,商业百货,-,-,058001001,069001001001,2018-04-20T00:00:00
000638,万方发展,A股,深交所主板,2019-06-26T00:00:00,2018-03-31T00:00:00,-0.0257,-,21110538.9,-28.0247,614.1783,-7944600.29,-100.8571,9.2625,-3.06,0.82592289,-0.142112,39.9313,国际贸易,-,-,058001001,069001002001,2018-04-28T00:00:00
600146,商赢环球,A股,上交所主板,2019-06-26T00:00:00,2018-03-31T00:00:00,0.02,-,569833465.15,46.4714,-24.6392,10228115.01,40.9652,-80.4389,0.33,6.48694623,0.014737,35.7147,纺织服装,-,-,058001001,069001001001,2018-04-26T00:00:00
300270,中威电子,A股,深交所创业板,2019-06-25T00:00:00,2018-03-31T00:00:00,0.0304,-,60500863.05,-6.0997,-63.1808,8271357.98,-55.5547,-20.2293,1.21,2.52213992,-0.260399,48.8752,安防设备,-,-,058001001,069001002002,2018-04-27T00:00:00
000622,恒立实业,A股,深交所主板,2019-06-25T00:00:00,2018-03-31T00:00:00,-0.006,-,13256420.16,60.9265,-43.5813,-2537175.4,13.4908,83.6575,-1.36,0.43510043,-0.035212,26.9942,机械行业,-,-,058001001,069001002001,2018-04-25T00:00:00
600968,海油发展,A股,上交所主板,2019-06-25T00:00:00,2018-03-31T00:00:00,0.003,-0.0014,4884346552.18,-,-,24502555.2,-,-,0.1921,-,0.1894,8.9119,石油行业,-,-,058001001,069001001001,2019-06-25T00:00:00
688002,睿创微纳,A股,上交所科创板,2019-06-24T00:00:00,2018-03-31T00:00:00,0.0117,-,36283202.75,-,-,3292796.96,-,-,-,-,-,46.1685,专用设备,-,-,058001001,069001001006,2019-06-24T00:00:00
603906,龙蟠科技,A股,上交所主板,2019-06-22T00:00:00,2018-03-31T00:00:00,0.14,-,345547602.43,3.5136,-8.5146,28557431.82,-15.2572,34.6029,2.22,5.88946412,0.371888,30.4387,化工行业,-,-,058001001,069001001001,2018-04-26T00:00:00
000806,ST银河,A股,深交所风险警示板,2019-06-20T00:00:00,2018-03-31T00:00:00,-0.0186,-,188083742.43,-21.3419,-20.4801,-20482668.01,-55.411,-366.3249,-0.98,1.89107995,-0.041876,26.1432,输配电气,-,-,058001001,069001002005,2018-04-28T00:00:00
002966,苏州银行,A股,深交所中小板,2019-06-17T00:00:00,2018-03-31T00:00:00,0.22,-,1786947529.0,-,-,646748543.0,-,-,-,-,-,-,银行,-,-,058001001,069001002003,2019-06-17T00:00:00
600300,维维股份,A股,上交所主板,2019-06-15T00:00:00,2018-03-31T00:00:00,0.03,-,1528274686.57,9.9761,24.1683,49150476.34,-46.2931,411.782,1.79,1.65456661,-0.054776,24.2849,食品饮料,-,-,058001001,069001001001,2018-04-28T00:00:00
000620,新华联,A股,深交所主板,2019-06-15T00:00:00,2018-03-31T00:00:00,0.02,-,1044471720.56,21.8771,-72.0519,39041267.22,-42.292,-93.6296,0.59,3.41676669,-0.430974,25.6243,房地产,-,-,058001001,069001002001,2018-04-25T00:00:00
600090,同济堂,A股,上交所主板,2019-06-14T00:00:00,2018-03-31T00:00:00,0.09,-,2433367160.74,10.8508,-16.4129,132839681.56,1.5075,17.6537,2.26,4.13688273,-0.05189,15.2441,医疗行业,-,-,058001001,069001001001,2018-04-27T00:00:00
000157,中联重科,A股,深交所主板,2019-06-14T00:00:00,2018-03-31T00:00:00,0.05,-,6360464384.08,20.5795,17.5117,376763940.5,345.5137,659.7426,1.0,4.8842735,0.058212,25.3292,机械行业,-,-,058001001,069001002001,2018-04-28T00:00:00
600712,南宁百货,A股,上交所主板,2019-06-14T00:00:00,2018-03-31T00:00:00,-0.0002,-,580516746.02,10.1982,-26.6456,-123595.99,31.6235,-100.8674,-0.01,1.95260988,-0.032211,15.5062,商业百货,-,-,058001001,069001001001,2018-04-26T00:00:00
300601,康泰生物,A股,深交所创业板,2019-06-10T00:00:00,2018-03-31T00:00:00,0.18,-,403309457.68,176.2521,9.9553,109879397.28,290.6082,88.3334,9.45,3.06262184,-1.6e-05,91.0694,医药制造,-,-,058001001,069001002002,2018-04-25T00:00:00
603256,宏和科技,A股,上交所主板,2019-06-10T00:00:00,2018-03-31T00:00:00,0.05,0.05,217221513.7,-,-,38466729.22,-,-,3.8,-,-,36.141,玻璃陶瓷,-,-,058001001,069001001001,2019-06-10T00:00:00
300093,金刚玻璃,A股,深交所创业板,2019-06-06T00:00:00,2018-03-31T00:00:00,0.0031,-,126842758.25,116.9615,-52.0811,673615.76,45.802,-83.5421,0.0212,4.1540175,0.101582,34.8621,玻璃陶瓷,-,-,058001001,069001002002,2018-04-27T00:00:00
300781,因赛集团,A股,深交所创业板,2019-06-05T00:00:00,2018-03-31T00:00:00,0.16,0.16,90745197.99,-,-,9930149.85,-,-,3.23,-,-0.73,38.2463,文化传媒,-,-,058001001,069001002002,2019-05-20T00:00:00
