scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
603983,016041,80374294,丸美股份,化工行业,003,001,2,shzb,2019-07-24T00:00:00,2019-03-31T00:00:00,120210613.48,364791441.67,223876380.65,0.0247680775702646,122587840.78,0.0855623222709843,74873000.58,15253170.32,-2397384.0,142568795.49,142415811.3,22451988.65,-,-,-,-,-,4687457.99,-,-,-,-,-,-,-,-,0.088788,0.222718,0.252745,118937143.73,0.2400852483,2019/7/23 19:16:15,122587840.78
688321,016024,80988890,微芯生物,医药制造,003,001,2,,2019-07-22T00:00:00,2019-03-31T00:00:00,1478694.1,25407829.23,26519981.78,-0.114384889649986,1143286.24,-0.0565515251775373,11274311.72,5933782.47,-105816.19,1257613.92,1157426.37,-321267.73,-,-,-,-,-,459875.49,-,-,-,-,-,-,-,-,-0.177743,-0.772037,-0.69961,-807300.47,-2.0351479731,2019/7/21 19:57:22,1143286.24
688188,016057,80445616,柏楚电子,软件服务,003,001,2,,2019-07-19T00:00:00,2019-03-31T00:00:00,56207114.98,72599619.65,27051928.6,0.411943679497371,14111600.3,0.408381320414068,1944390.6,4843657.25,-221822.06,57478999.3,57478346.47,1271231.49,-,-,-,-,-,911465.49,-,-,-,-,-,-,-,-,0.403517,0.629786,0.870802,54474022.09,0.9740110691,2020/1/8 11:42:21,14111600.3
600479,016024,10001335,千金药业,医药制造,003,001,2,shzb,2019-07-19T00:00:00,2019-03-31T00:00:00,45011163.0,804063401.0,742722726.16,0.14940589073564,417413754.45,0.139735020482059,254758304.08,41580183.58,-6157880.62,66018321.82,66482134.05,11134042.75,-,-,-,-,-,9072166.46,-,-,-,-,-,-,-,-,0.164758,0.304101,0.326135,41083147.89,0.4474522273,2019/7/18 16:01:28,417413754.45
688398,016040,80429437,赛特新材,材料行业,003,001,2,,2019-07-18T00:00:00,2019-03-31T00:00:00,17378619.89,93028428.51,74138301.59,-,53202217.03,-,9249678.35,4045199.08,2205461.2,20172535.78,20125966.25,2747346.36,-,-,-,-,-,1103632.16,-,-,-,-,-,-,-,-,-,-,-,16062707.3,-,2020/1/8 11:42:21,53202217.03
002959,016019,80914771,小熊电器,家电行业,003,001,2,zxb,2019-07-15T00:00:00,2019-03-31T00:00:00,56113986.59,630396802.87,554722247.83,0.3471201528312,414218550.36,0.33120033050752,87395297.73,19951111.84,233341.36,76714277.35,75401393.94,19287407.35,-,-,-,-,-,4502327.26,-,-,-,-,-,-,-,-,0.346257,0.352317,0.318084,56460015.71,0.3491064686,2019/7/15 1:12:16,414218550.36
300175,016009,80165005,朗源股份,农牧饲渔,003,001,2,cyb,2019-07-13T00:00:00,2019-03-31T00:00:00,8010239.13,126562196.67,111676085.57,0.665860153602582,85846710.79,0.468336884030534,4743619.44,12370250.18,3345903.05,15143757.95,15066030.72,3635241.97,-,-,-,-,-,427574.65,-,-,-,-,-,-,-,-,1.016225,4.505053,2.753585,7875299.41,2.6854754423,2019/7/12 19:32:27,85846710.79
688218,016061,80438361,江苏北人,专用设备,003,001,2,,2019-07-11T00:00:00,2019-03-31T00:00:00,4738525.41,44484886.51,41981812.52,-0.148923344167511,31025021.06,-0.211248844019866,1164569.15,5171399.26,71500.22,4453464.78,4628265.55,291639.62,-,-,-,-,-,574304.12,-,-,-,-,-,-,-,-,-0.149446,0.262007,0.343985,3879408.86,0.1188821769,2020/1/8 12:06:15,31025021.06
300786,016061,80201110,国林科技,专用设备,003,001,2,cyb,2019-07-09T00:00:00,2019-03-31T00:00:00,15744443.68,89378984.41,70726626.28,0.322377680404959,53526276.07,0.364315361184939,6105407.71,4088278.15,517804.64,18652358.13,18701995.84,2591278.37,-,-,-,-,-,1184126.93,-,-,-,-,-,-,-,-,0.331463,0.366968,0.352152,15700607.94,0.3485525675,2019/7/9 1:47:55,53526276.07
688177,016024,80994891,百奥泰,医药制造,003,001,2,,2019-07-08T00:00:00,2019-03-31T00:00:00,-531649565.56,-,533472893.15,-,-,-,444086.16,358014988.84,98495.65,-531637565.76,-531649565.56,-,-,-,-,-,-,432302.13,-,-,-,-,-,-,-,-,-,-,-,-181472893.15,-,2019/7/8 19:22:07,-
