scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode,firstnoticedate
688089,嘉必优,A股,上交所科创板,2019-11-29T00:00:00,2019-09-30T00:00:00,-,231182700.0,15.92137816363186,-,199430600.0,96003500.0,48.37863611002493,-,64701700.0,-,-,食品饮料,058001001,069001001006,2019-11-29T00:00:00
688310,迈得医疗,A股,上交所科创板,2019-11-26T00:00:00,2019-09-30T00:00:00,-,111987800.0,20.686132299342834,-,92792600.0,16234400.0,48.14165913840146,-,10958700.0,-,-,医疗行业,058001001,069001001006,2019-11-26T00:00:00
688398,赛特新材,A股,上交所科创板,2019-11-25T00:00:00,2019-09-30T00:00:00,-,296930000.0,36.45780483680027,1.138662634052041,217598400.0,56577200.0,77.17581922036277,11.251138143933261,31932800.0,-,-,材料行业,058001001,069001001006,2019-11-25T00:00:00
002969,嘉美包装,A股,深交所中小板,2019-11-18T00:00:00,2019-09-30T00:00:00,-,1619702700.0,-14.82188274089756,-,1901547900.0,63584500.0,14.48498008628078,-,55539600.0,-,-,包装材料,058001001,069001002003,2019-11-18T00:00:00
688080,映翰通,A股,上交所科创板,2019-11-15T00:00:00,2019-09-30T00:00:00,-,205085000.0,15.338823435458682,-,177810900.0,39937900.0,34.80510625658197,-,29626400.0,-,-,专用设备,058001001,069001001006,2019-11-15T00:00:00
688258,卓易信息,A股,上交所科创板,2019-11-14T00:00:00,2019-09-30T00:00:00,-,132724100.0,56.58074182435939,-,84764000.0,19196700.0,-21.998244658805554,-,24610600.0,-,-,软件服务,058001001,069001001006,2019-11-14T00:00:00
688186,广大特材,A股,上交所科创板,2019-11-14T00:00:00,2019-09-30T00:00:00,-,1217499500.0,-0.12175716541574756,-,1218983700.0,92678600.0,2.8819138012377543,-,90082500.0,-,-,金属制品,058001001,069001001006,2019-11-14T00:00:00
688278,特宝生物,A股,上交所科创板,2019-11-11T00:00:00,2019-09-30T00:00:00,-,528082600.0,69.82304826497257,-,310960500.0,42084500.0,8719.048616932103,-,477200.0,-,-,医药制造,058001001,069001001006,2019-11-11T00:00:00
688399,硕世生物,A股,上交所科创板,2019-11-08T00:00:00,2019-09-30T00:00:00,-,190611700.0,20.254891916036197,-,158506400.0,49772200.0,26.525123418188105,-,39337800.0,-,-,医疗行业,058001001,069001001006,2019-11-08T00:00:00
688198,佰仁医疗,A股,上交所科创板,2019-11-08T00:00:00,2019-09-30T00:00:00,-,106519100.0,31.738776075581,-,80856300.0,47709300.0,29.501610990019188,-,36840700.0,-,-,医疗行业,058001001,069001001006,2019-11-08T00:00:00
688181,八亿时空,A股,上交所科创板,2019-11-06T00:00:00,2019-09-30T00:00:00,-,318811200.0,4.482461294835674,-,305133700.0,88437100.0,-13.647872127481946,-,102414500.0,-,-,材料行业,058001001,069001001006,2019-11-06T00:00:00
688100,威胜信息,A股,上交所科创板,2019-11-01T00:00:00,2019-09-30T00:00:00,-,879083200.0,13.9799442808812,-31.033808747602503,771261300.0,162435800.0,42.51017047443498,-42.92461245998538,113981900.0,-,-,电子信息,058001001,069001001006,2019-11-01T00:00:00
688081,兴图新科,A股,上交所科创板,2019-10-31T00:00:00,2019-09-30T00:00:00,-,68238600.0,37.888627996168786,-,49488200.0,-1037200.0,94.70889214240896,-,-19602700.0,-,-,通讯行业,058001001,069001001006,2019-10-31T00:00:00
688178,万德斯,A股,上交所科创板,2019-10-31T00:00:00,2019-09-30T00:00:00,-,577185100.0,93.84310594914207,-,297758900.0,94062400.0,130.59370357477312,-,40791400.0,-,-,环保工程,058001001,069001001006,2019-10-31T00:00:00
601933,永辉超市,A股,上交所主板,2019-10-22T00:00:00,2019-09-30T00:00:00,0.16,63543389300.0,20.593552618120697,18.094487429735523,52692194500.0,1538346400.0,51.13721849294712,-31.155351904449212,1017847500.0,2.17,7.62,商业百货,058001001,069001001001,2019-10-22T00:00:00
601901,方正证券,A股,上交所主板,2019-10-19T00:00:00,2019-09-30T00:00:00,0.13,4967250900.0,33.95228459898095,-20.905735879286432,3708224100.0,1074962100.0,136.48175341453194,77.27753762652318,454564500.0,4.7,2.8,券商信托,058001001,069001001001,2019-10-19T00:00:00
601016,节能风电,A股,上交所主板,2019-10-19T00:00:00,2019-09-30T00:00:00,0.102,1794968880.8,-0.1096640095881782,-15.84343121920864,1796939476.68,424497422.67,-8.419405654224517,-41.16319148474186,463523332.32,1.725,6.0,输配电气,058001001,069001001001,2019-10-19T00:00:00
603535,嘉诚国际,A股,上交所主板,2019-10-16T00:00:00,2019-09-30T00:00:00,0.72,856098622.8,10.113377421028066,1.426898143789959,777470133.83,108078247.35,5.821210383604373,-9.234062965194049,102132877.67,10.47,7.06,交运物流,058001001,069001001001,2019-10-16T00:00:00
600674,川投能源,A股,上交所主板,2019-10-15T00:00:00,2019-09-30T00:00:00,0.5976,577868568.64,-3.7664469970921544,165.38894161294832,600485538.16,2630583777.56,-5.075383551727403,257.19066259403604,2771234560.63,5.94,10.23,电力行业,058001001,069001001001,2019-10-15T00:00:00
600292,远达环保,A股,上交所主板,2019-10-15T00:00:00,2019-09-30T00:00:00,0.13,2930150000.0,18.274253053579933,12.257474476091302,2477420000.0,103470000.0,-4.0256005936369545,917.072085892142,107810000.0,6.4,2.08,环保工程,058001001,069001001001,2019-10-15T00:00:00
000728,国元证券,A股,深交所主板,2019-10-15T00:00:00,2019-09-30T00:00:00,0.21,2246551400.0,38.132333712212464,10.15702463005683,1626376200.0,699721500.0,113.24806720353426,2358.146884556373,328125600.0,7.4,2.82,券商信托,058001001,069001002001,2019-10-15T00:00:00
603766,隆鑫通用,A股,上交所主板,2019-10-15T00:00:00,2019-09-30T00:00:00,0.2993,7536798400.0,-5.562497627878747,4.2142852389237015,7980726100.0,614712400.0,0.8049970195317016,30.752492135842722,609803500.0,3.41,9.17,机械行业,058001001,069001001001,2019-10-15T00:00:00
600428,中远海特,A股,上交所主板,2019-10-12T00:00:00,2019-09-30T00:00:00,0.068,6079805500.0,10.241945838393882,3.3240690730506195,5514965700.0,146872200.0,13.811981733942616,-30.77437406802015,129048100.0,4.58,1.51,港口水运,058001001,069001001001,2019-10-12T00:00:00
600917,重庆燃气,A股,上交所主板,2019-10-11T00:00:00,2019-09-30T00:00:00,0.2,5121679900.0,16.32791067238782,-8.846816115420761,4402795400.0,310900700.0,9.84167148334325,32.76715440850745,283044400.0,2.65,7.71,公用事业,058001001,069001001001,2019-10-11T00:00:00
601139,深圳燃气,A股,上交所主板,2019-10-11T00:00:00,2019-09-30T00:00:00,0.32,10000690000.0,6.248917663832495,-1.653632110044748,9412510000.0,918120000.0,8.943340255117176,-9.217798643036065,842750000.0,3.85,9.51,公用事业,058001001,069001001001,2019-10-11T00:00:00
